(np.float64(173.038302), np.float64(173.369793))
(np.float64(173.369793), np.float64(173.701284))
(np.float64(173.701284), np.float64(173.8670295))
(np.float64(173.8670295), np.float64(174.032775))
(np.float64(174.032775), np.float64(174.1985205))
(np.float64(174.1985205), np.float64(174.5300115))
(np.float64(174.5300115), np.float64(174.8615025))
(np.float64(174.8615025), np.float64(175.027248))
(np.float64(175.027248), np.float64(175.35873899999999))
(np.float64(175.35873899999999), np.float64(175.69022999999999))
(np.float64(175.69022999999999), np.float64(176.02172099999999))
(np.float64(176.02172099999999), np.float64(176.35321199999998))
(np.float64(176.35321199999998), np.float64(176.5189575))
(np.float64(176.5189575), np.float64(176.68470299999998))
(np.float64(176.68470299999998), np.float64(176.8504485))
(np.float64(176.8504485), np.float64(177.1819395))
(np.float64(177.1819395), np.float64(177.67917599999998))
(np.float64(177.67917599999998), np.float64(178.01066699999998))
(np.float64(178.01066699999998), np.float64(178.34215799999998))
(np.float64(178.34215799999998), np.float64(178.67364899999998))
(np.float64(178.67364899999998), np.float64(179.00513999999998))
(np.float64(179.00513999999998), np.float64(179.33663099999998))
(np.float64(179.33663099999998), np.float64(179.66812199999998))
(np.float64(179.66812199999998), np.float64(179.999613))
(np.float64(179.999613), np.float64(180.331104))
(np.float64(180.331104), np.float64(180.662595))
(np.float64(180.662595), np.float64(180.994086))
(np.float64(180.994086), np.float64(181.325577))
(np.float64(181.325577), np.float64(181.657068))
(np.float64(181.657068), np.float64(181.8228135))
(np.float64(181.8228135), np.float64(182.1543045))
(np.float64(182.1543045), np.float64(182.4857955))
(np.float64(182.4857955), np.float64(182.651541))
(np.float64(182.651541), np.float64(182.983032))
(np.float64(182.983032), np.float64(183.314523))
(np.float64(183.314523), np.float64(183.646014))
(np.float64(183.646014), np.float64(183.977505))
(np.float64(183.977505), np.float64(184.308996))
(np.float64(184.308996), np.float64(184.4747415))
(np.float64(184.4747415), np.float64(184.640487))
(np.float64(184.640487), np.float64(184.8062325))
(np.float64(184.8062325), np.float64(185.1377235))
(np.float64(185.1377235), np.float64(185.303469))
(np.float64(185.303469), np.float64(185.63496))
(np.float64(185.63496), np.float64(185.966451))
(np.float64(185.966451), np.float64(186.297942))
(np.float64(186.297942), np.float64(186.629433))
(np.float64(186.629433), np.float64(186.960924))
(np.float64(186.960924), np.float64(187.1266695))
(np.float64(187.1266695), np.float64(187.292415))
(np.float64(187.292415), np.float64(187.4581605))
(np.float64(187.4581605), np.float64(187.7896515))
(np.float64(187.7896515), np.float64(188.286888))
(np.float64(188.286888), np.float64(188.618379))
(np.float64(188.618379), np.float64(188.94987))
(np.float64(188.94987), np.float64(189.281361))
(np.float64(189.281361), np.float64(189.612852))
(np.float64(189.612852), np.float64(190.938816))
